episode_id,scenario_type,configuration,planner_seed,recovery_days,recovered,total_cost,service_cov,mean_service,air_expedites,air_expedite_noops,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
4,dual,planner_daily_h14_k48,mean,110.0,0.0,1062406.7524596113,0.3601895294093366,0.8844579478625121,12.8,0.0,31.0,0.0,12.8,76.2,0.0,0.0
5,compound,rl_only,,108.2,True,561690.498,0.3833,0.8616,,,,,,,,
5,compound,crl,,108.6,True,442524.528,0.2897,0.913,,,,,,,,
5,compound,planner_weekly_h14,mean,68.0,1.0,616830.8425124128,0.4751267724691425,0.8750017399998921,5.0,0.0,115.0,0.0,5.0,0.0,0.0,0.0
5,compound,planner_daily_h14,mean,30.4,1.0,1483378.1400267673,0.5737835255647987,0.9265387126396559,27.2,4.2,17.8,0.0,27.2,75.0,0.0,0.0
5,compound,planner_daily_no_expedite,mean,105.8,0.6,592476.6140868642,0.449982131219323,0.8261698442867816,0.0,0.0,57.2,10.0,0.0,52.2,0.0,0.6
5,compound,planner_daily_expedite_7d,mean,104.4,0.8,768349.0025847052,0.5411944784265736,0.7684579162204945,3.8,0.0,71.4,9.2,3.8,35.0,0.0,0.6
5,compound,planner_daily_h28,mean,22.6,1.0,1338162.404174346,0.34509777675415665,0.97586106605987,17.8,0.0,26.2,7.6,17.8,68.4,0.0,0.0
5,compound,planner_daily_h56,mean,22.0,1.0,1386546.251275178,0.3657701238292039,0.974790306436659,24.0,2.0,86.0,10.0,24.0,0.0,0.0,0.0
5,compound,planner_daily_h14_k48,mean,31.2,1.0,1479088.649630121,0.5554719491454749,0.9274409208186558,27.6,4.6,17.4,0.0,27.6,75.0,0.0,0.0
6,single,rl_only,,21.8,True,376771.334,0.013,0.9988,,,,,,,,
6,single,crl,,0.0,True,411065.246,0.0,1.0,,,,,,,,
6,single,planner_weekly_h14,mean,0.0,1.0,390295.1960526101,0.0,1.0,0.0,0.0,104.0,0.0,0.0,16.0,0.0,0.0
6,single,planner_daily_h14,mean,0.0,1.0,390295.1960526101,0.0,1.0,0.0,0.0,10.0,0.0,0.0,110.0,0.0,0.0
6,single,planner_daily_no_expedite,mean,0.0,1.0,390295.1960526101,0.0,1.0,0.0,0.0,10.0,0.0,0.0,110.0,0.0,0.0
6,single,planner_daily_expedite_7d,mean,0.0,1.0,390295.1960526101,0.0,1.0,0.0,0.0,10.0,0.0,0.0,110.0,0.0,0.0
6,single,planner_daily_h28,mean,0.0,1.0,318135.58100319956,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
6,single,planner_daily_h56,mean,0.0,1.0,539888.2209834275,0.0,1.0,4.2,0.0,107.4,8.4,4.2,0.0,0.0,0.0
6,single,planner_daily_h14_k48,mean,0.0,1.0,390295.1960526101,0.0,1.0,0.0,0.0,10.0,0.0,0.0,110.0,0.0,0.0
7,dual,rl_only,,62.2,True,487369.584,0.2891,0.9286,,,,,,,,
7,dual,crl,,85.4,True,444984.384,0.1606,0.9652,,,,,,,,
7,dual,planner_weekly_h14,mean,61.0,1.0,530573.9258128217,0.3201788629940428,0.9419879797417623,4.0,0.0,116.0,0.0,4.0,0.0,0.0,0.0
7,dual,planner_daily_h14,mean,43.2,1.0,1219721.6034346013,0.17431786483069336,0.9314882713586847,13.8,0.0,40.0,3.4,13.8,62.8,0.0,0.0
7,dual,planner_daily_no_expedite,mean,108.0,1.0,595040.1265955826,0.4056339517287747,0.8479988449363036,0.0,0.0,77.2,9.0,0.0,33.8,0.0,0.0
7,dual,planner_daily_expedite_7d,mean,108.0,1.0,669254.6698186325,0.40907459941017627,0.847101417289581,1.2,0.0,71.6,9.4,1.2,37.8,0.0,0.0
7,dual,planner_daily_h28,mean,102.4,1.0,1012862.8427383201,0.19339014273497343,0.9599093245204365,10.0,0.0,25.6,9.6,10.0,74.8,0.0,0.0
7,dual,planner_daily_h56,mean,0.0,1.0,1572873.663157911,0.0,1.0,21.8,0.0,88.2,10.0,21.8,0.0,0.0,0.0
7,dual,planner_daily_h14_k48,mean,86.4,1.0,828952.6809175701,0.2908393260300676,0.9011600196958716,6.0,0.0,57.4,7.2,6.0,49.4,0.0,0.0
8,compound,rl_only,,108.4,True,516330.0,0.3694,0.8733,,,,,,,,
8,compound,crl,,108.6,True,496124.656,0.2929,0.9084,,,,,,,,
8,compound,planner_weekly_h14,mean,82.8,1.0,559649.9705192212,0.429370573588759,0.8770930846600404,2.0,0.0,113.8,2.0,2.0,2.2,0.0,0.0
8,compound,planner_daily_h14,mean,43.6,0.8,1149868.122332586,0.29141697088158197,0.9669613207411659,16.6,0.0,24.0,8.6,16.6,70.8,0.0,0.0
8,compound,planner_daily_no_expedite,mean,86.6,1.0,457156.58985083626,0.20416865689254257,0.9606413372222444,0.0,0.0,75.4,7.8,0.0,36.6,0.0,0.2
8,compound,planner_daily_expedite_7d,mean,92.8,1.0,639750.9610361701,0.308472164590794,0.9220855394056698,3.0,0.0,57.6,7.2,3.0,52.0,0.0,0.2
8,compound,planner_daily_h28,mean,109.8,0.2,1275567.3946480597,0.31646296418524206,0.9072619299505608,14.8,0.0,29.6,9.0,14.8,66.6,0.0,0.0
8,compound,planner_daily_h56,mean,0.0,1.0,1084837.5302152014,0.0,1.0,15.4,0.0,95.6,9.0,15.4,0.0,0.0,0.0
8,compound,planner_daily_h14_k48,mean,71.4,0.4,1194159.0372867654,0.24348704219814313,0.9410741060422675,15.6,0.0,28.0,7.4,15.6,69.0,0.0,0.0
9,single,rl_only,,37.8,True,372855.974,0.1716,0.9749,,,,,,,,
9,single,crl,,43.4,True,360934.146,0.0474,0.9905,,,,,,,,
9,single,planner_weekly_h14,mean,44.0,1.0,365717.0476484513,0.20694040611744308,0.9827419826642536,0.0,0.0,106.0,0.0,0.0,14.0,0.0,0.0
9,single,planner_daily_h14,mean,44.0,1.0,399242.9202937264,0.20694040611744308,0.9827419826642536,0.0,0.0,22.0,2.0,0.0,96.0,0.0,0.0
9,single,planner_daily_no_expedite,mean,44.0,1.0,399242.9202937264,0.20694040611744308,0.9827419826642536,0.0,0.0,22.0,2.0,0.0,96.0,0.0,0.0
9,single,planner_daily_expedite_7d,mean,44.0,1.0,399242.9202937264,0.20694040611744308,0.9827419826642536,0.0,0.0,22.0,2.0,0.0,96.0,0.0,0.0
9,single,planner_daily_h28,mean,93.6,0.4,353568.1875465666,0.12538643317774817,0.9807462849505679,0.2,0.0,114.4,5.4,0.2,0.0,0.0,0.0
9,single,planner_daily_h56,mean,22.0,0.8,444699.9765917654,0.019904729931154143,0.99718020347769,3.4,0.0,106.8,9.8,3.4,0.0,0.0,0.0
9,single,planner_daily_h14_k48,mean,44.0,1.0,399242.9202937264,0.20694040611744308,0.9827419826642536,0.0,0.0,22.6,2.4,0.0,95.0,0.0,0.0
10,dual,rl_only,,83.8,True,477552.958,0.3455,0.9202,,,,,,,,
10,dual,crl,,109.2,True,440889.498,0.1712,0.9684,,,,,,,,
10,dual,planner_weekly_h14,mean,109.0,1.0,601989.5398063121,0.362763283579028,0.8792601059672709,1.0,0.0,106.0,2.0,1.0,11.0,0.0,0.0
10,dual,planner_daily_h14,mean,105.6,0.2,998397.7537816571,0.4216966712892309,0.8451380420479456,9.0,0.0,44.2,7.8,9.0,59.0,0.0,0.0
10,dual,planner_daily_no_expedite,mean,32.8,1.0,472679.0082608542,0.0754055947725963,0.9808068901825614,0.0,0.0,37.0,10.0,0.0,73.0,0.0,0.0
10,dual,planner_daily_expedite_7d,mean,98.4,0.8,623064.460717685,0.19664767510167788,0.9525731546227154,2.2,0.0,40.8,8.8,2.2,68.2,0.0,0.0
10,dual,planner_daily_h28,mean,32.2,1.0,600813.5920340132,0.06368871066170095,0.9928150555143999,4.8,0.0,105.2,10.0,4.8,0.0,0.0,0.0
10,dual,planner_daily_h56,mean,86.4,1.0,630918.4143296902,0.13688505899329184,0.9762251191250195,5.2,0.0,104.8,10.0,5.2,0.0,0.0,0.0
10,dual,planner_daily_h14_k48,mean,105.6,0.2,1059110.5685593,0.4113408216386992,0.8568224833557947,10.0,0.0,38.6,6.4,10.0,65.0,0.0,0.0
11,compound,rl_only,,0.0,True,406999.56,0.0,1.0,,,,,,,,
11,compound,crl,,0.0,True,389714.128,0.0,1.0,,,,,,,,
11,compound,planner_weekly_h14,mean,0.0,1.0,471152.55786044366,0.0,1.0,3.0,0.0,117.0,0.0,3.0,0.0,0.0,0.0
11,compound,planner_daily_h14,mean,22.0,0.8,1185441.2125791772,0.021321713833728086,0.9972972025949864,14.4,0.0,29.8,0.0,14.4,75.8,0.0,0.0
11,compound,planner_daily_no_expedite,mean,0.0,1.0,429680.67783025716,0.0,1.0,0.0,0.0,48.0,0.0,0.0,72.0,0.0,0.0
