analysis,regime,configuration,episode_id,scenario_type,lpi,total_severity,planner_seed,total_cost,service_cov,air_expedites,recovery_0.90,recovery_0.95,recovery_0.98
threshold,baseline,planner_weekly,0,single,2.585645,2,mean,332563.0591712982,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,1,dual,2.526313,7,mean,474447.5228640451,0.21940736169496122,3.0,83.0,83.0,83.0
threshold,baseline,planner_weekly,2,compound,2.5805249999999997,9,mean,400070.2588827663,0.0,4.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,3,single,2.585645,3,mean,345729.9334943593,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,4,dual,2.814935,8,mean,553656.6951286502,0.25295889824866763,2.0,110.0,110.0,110.0
threshold,baseline,planner_weekly,5,compound,2.585645,12,mean,616830.8425124128,0.4751267724691425,5.0,68.0,68.0,68.0
threshold,baseline,planner_weekly,6,single,2.526313,5,mean,390295.1960526101,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,7,dual,2.5805249999999997,7,mean,530573.9258128217,0.3201788629940428,4.0,61.0,61.0,61.0
threshold,baseline,planner_weekly,8,compound,2.814935,12,mean,559649.9705192212,0.429370573588759,2.0,82.8,82.8,82.8
threshold,baseline,planner_weekly,9,single,2.5805249999999997,5,mean,365717.0476484513,0.20694040611744308,0.0,44.0,44.0,44.0
threshold,baseline,planner_weekly,10,dual,2.6,8,mean,601989.5398063121,0.362763283579028,1.0,109.0,109.0,109.0
threshold,baseline,planner_weekly,11,compound,2.5805249999999997,10,mean,471152.55786044366,0.0,3.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,12,single,2.526313,5,mean,385168.25190326007,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,13,dual,2.6,8,mean,579617.7829739692,0.2498197191401216,3.0,97.0,97.0,97.0
threshold,baseline,planner_weekly,14,compound,2.5805249999999997,11,mean,457276.83482768864,0.1430726126482992,4.0,110.0,110.0,110.0
threshold,baseline,planner_weekly,15,single,2.5805249999999997,3,mean,331926.0948761814,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,16,dual,2.526313,6,mean,381191.2026567125,0.0,0.2,0.0,0.0,0.0
threshold,baseline,planner_weekly,17,compound,2.5805249999999997,12,mean,584853.0750696218,0.4424718421402602,4.0,74.0,74.0,74.0
threshold,baseline,planner_weekly,18,single,2.5805249999999997,4,mean,353253.97989165876,0.0,0.0,0.0,0.0,0.0
threshold,baseline,planner_weekly,19,dual,2.814935,7,mean,412000.7454933121,0.0,3.0,0.0,0.0,0.0
